incident_id,opened_at,severity,service,environment,status,summary,assignment_group,resolution_time_minutes
INC0001,2026-03-01T08:15:00Z,High,agent-api,prod,Resolved,API timeout during incident query,Platform Operations,47
INC0002,2026-03-01T11:42:00Z,Medium,fabric-pipeline,dev,Resolved,Bronze ingestion delay in Fabric pipeline,Data Engineering,32
INC0003,2026-03-02T09:05:00Z,Critical,foundry-agent,prod,Resolved,Agent failed to complete remediation recommendation,AI Platform Team,63
INC0004,2026-03-02T14:18:00Z,Low,cost-monitor,uat,Resolved,Delayed cost anomaly refresh job,FinOps Engineering,25
INC0005,2026-03-03T07:50:00Z,High,api-gateway,prod,Resolved,Authentication failure on API endpoint,Security Operations,54
INC0006,2026-03-03T13:10:00Z,Medium,telemetry-ingest,dev,Resolved,Telemetry records not loading into bronze layer,Data Engineering,41
INC0007,2026-03-03T18:22:00Z,Critical,foundry-agent,prod,Resolved,Prompt execution chain failed during analysis,AI Platform Team,71
INC0008,2026-03-04T10:30:00Z,High,fabric-pipeline,prod,Resolved,Gold layer transformation failure,Data Engineering,58
INC0009,2026-03-04T15:47:00Z,Medium,agent-api,uat,Resolved,API returned incomplete incident summary response,Platform Operations,36
INC0010,2026-03-04T21:05:00Z,Low,cost-monitor,dev,Resolved,Usage dashboard refresh warning,FinOps Engineering,19
